Time of Scrape,Player Name,Team,Position,Game Start Date,Opponent,Strikeout Predictions
2023-06-23 00:02:56,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 00:02:56,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 00:02:57,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 00:02:57,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 00:02:57,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 00:02:57,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 00:02:57,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 00:02:57,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 00:02:57,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 00:02:57,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.5
2023-06-23 00:02:57,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.5
2023-06-23 00:02:57,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 00:02:57,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.0
2023-06-23 00:02:57,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.0
2023-06-23 00:11:38,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 00:11:38,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 00:11:38,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 00:11:38,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 00:11:38,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 00:11:38,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 00:11:38,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 00:11:38,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 00:11:38,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 00:11:38,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.5
2023-06-23 00:11:38,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 00:11:38,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 00:11:38,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.5
2023-06-23 00:11:38,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 00:11:38,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.0
2023-06-23 00:11:38,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.0
2023-06-23 00:12:36,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 00:12:36,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,3.5
2023-06-23 00:12:36,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,4.5
2023-06-23 00:12:36,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 00:12:37,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 00:12:37,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.0
2023-06-23 00:12:37,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 00:12:37,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 00:12:37,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 00:12:37,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.5
2023-06-23 00:12:37,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 00:12:37,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
